"type","Rank_metric","Drug_set","ES","NES","p_value","Position_at_max","FDR_q_value","Leading_edge","minusLogP","minusLogFDR","sig"
"JH-2-009","Pearson.est","glucocorticoid receptor agonist",0.70609,1.73,0.0233,119,0.295,"ciclesonide, triamcinolone.acetonide, fluocinolone.acetonide, hydrocortisone, flumethasone.pivalate, halcinonide, dexamethasone.acetate, desonide, difluprednate, halobetasol.propionate, flumethasone, rimexolone",1.63264407897398,0.530177984021837,FALSE
"JH-2-009","Pearson.est","glutamate receptor antagonist",0.25321,0.603,0.901,406,0.958,"SIB.1757, diazooxonorleucine, CPP, CGP.37849, MTPG",0.045275209020937,0.0186344909214556,FALSE
"JH-2-009","Pearson.est","glycogen synthase kinase inhibitor",-0.29161,-0.755,0.728,1241,0.978,"CHIR.98014, CHIR.99021",0.137868620686963,0.00966114521239857,FALSE
"JH-2-009","Pearson.est","growth factor receptor inhibitor",0.26671,0.654,0.866,94,0.931,"GSK1904529A",0.0624821079826534,0.0310503190186574,FALSE
"JH-2-009","Pearson.est","HCV inhibitor",0.61589,1.5,0.079,118,0.58,"PSI.7976, embelin",1.10237290870956,0.236572006437063,FALSE
"JH-2-009","Pearson.est","HDAC inhibitor",-0.21915,-0.573,0.94,1197,0.995,"scriptaid, mocetinostat, pyroxamide, resminostat, ACY.1215, chidamide",0.0268721464003014,0.00217691925427455,FALSE
"JH-2-009","Pearson.est","histamine receptor antagonist",0.48356,1.17,0.31,243,0.744,"ranitidine, terfenadine, ebastine, astemizole, levocetirizine",0.508638306165727,0.128427064454121,FALSE
"JH-2-009","Pearson.est","HMGCR inhibitor",-0.77333,-2.05,0,1342,0.111,"fluvastatin, pitavastatin, atorvastatin, mevastatin",Inf,0.954677021213343,TRUE
"JH-2-009","Pearson.est","HSP inhibitor",-0.58195,-1.56,0.0714,957,0.383,"NVP.AUY922, KW.2478, PU.H71, alvespimycin, XL888, ganetespib, VER.49009, NMS.E973",1.14630178822383,0.416801226031377,FALSE
"JH-2-009","Pearson.est","JAK inhibitor",-0.37473,-0.985,0.434,1219,0.809,"lestaurtinib, AT.9283, tozasertib, PRT062070, ruxolitinib",0.362510270487489,0.0920514783877277,FALSE
"JH-2-009","Pearson.est","KIT inhibitor",-0.47386,-1.23,0.214,1031,0.613,"tandutinib, sunitinib, sorafenib, regorafenib, cediranib, telatinib, midostaurin, motesanib, pazopanib, lenvatinib",0.669586226650809,0.212539525481585,FALSE
"JH-2-009","Pearson.est","MDM inhibitor",0.37365,0.93,0.537,435,0.858,"RITA, nutlin.3, CGM097",0.270025714300444,0.0665127121512946,FALSE
"JH-2-009","Pearson.est","MEK inhibitor",0.76122,1.83,0.00326,172,0.197,"AZD8330, TAK.733, trametinib, PD.0325901, Ro.4987655, cobimetinib, AS.703026, MEK162, selumetinib, refametinib, PD.318088, PD.198306",2.48678239993206,0.705533773838407,TRUE
"JH-2-009","Pearson.est","MET inhibitor",-0.43862,-1.16,0.272,953,0.662,"INC.280, NVP.BVU972, LY2801653, AMG458",0.565431095965801,0.1791420105603,FALSE
"JH-2-009","Pearson.est","microtubule inhibitor",-0.56982,-1.49,0.102,997,0.359,"D.64131, cabazitaxel, vinflunine, vinblastine, colchicine, estramustine.phosphate",0.991399828238082,0.444905551421681,FALSE
"JH-2-009","Pearson.est","mTOR inhibitor",0.39613,0.966,0.485,487,0.817,"WYE.354, XL388, WAY.600, LY303511, GSK2126458, PP242, torin.1, OSI.027, AZD8055, ku.0063794, PF.04691502, WYE.125132, palomid.529, torin.2",0.314258261397736,0.0877779434675845,FALSE
"JH-2-009","Pearson.est","NFkB pathway inhibitor",-0.24633,-0.654,0.872,1218,1,"bindarit, BAY.11.7082",0.0594835150674328,0,FALSE
"JH-2-009","Pearson.est","opioid receptor agonist",-0.24082,-0.642,0.896,976,1,"salvinorin.a, BW.180C, cebranopadol, spiradoline",0.0476919903378748,0,FALSE
"JH-2-009","Pearson.est","p38 MAPK inhibitor",0.55499,1.33,0.149,393,0.732,"TAK.715, CMPD.1, SB.239063, SB.242235, VX.702",0.826813731587726,0.135488918941608,FALSE
"JH-2-009","Pearson.est","PARP inhibitor",-0.73422,-1.93,0.0102,1357,0.101,"AZD2461, niraparib, olaparib, talazoparib",1.99139982823808,0.995678626217357,TRUE
"JH-2-009","Pearson.est","PDGFR tyrosine kinase receptor inhibitor",-0.5542,-1.4,0.128,1031,0.452,"tandutinib, sunitinib, sorafenib, regorafenib, trapidil, orantinib, telatinib, ponatinib, dovitinib, motesanib, pazopanib, axitinib, nintedanib, lenvatinib, linifanib",0.892790030352132,0.344861565188618,FALSE
"JH-2-009","Pearson.est","phosphatase inhibitor",0.27644,0.656,0.886,70,0.976,"alexidine",0.0525662781129492,0.0105501823333082,FALSE
"JH-2-009","Pearson.est","phosphodiesterase inhibitor",-0.42896,-1.12,0.314,1156,0.624,"GSK256066, papaverine, anagrelide, YM.976, enoximone",0.503070351926785,0.204815410317576,FALSE
"JH-2-009","Pearson.est","PI3K inhibitor",0.36329,0.867,0.638,212,0.887,"LY303511, TG.100713, GSK2126458, YM.201636, taselisib, GDC.0941, alpelisib",0.195179321278838,0.0520763801682736,FALSE
"JH-2-009","Pearson.est","PLK inhibitor",-0.64741,-1.68,0.0386,1026,0.308,"HMN.214, rigosertib, GW.843682X, GSK461364, BI.2536, volasertib",1.41341269532825,0.511449283499556,FALSE
"JH-2-009","Pearson.est","potassium channel blocker",-0.22952,-0.58,0.922,1279,1,"dofetilide",0.0352690789463706,0,FALSE
"JH-2-009","Pearson.est","PPAR receptor agonist",-0.36087,-0.955,0.497,1053,0.834,"pterostilbene, clofibrate, GW.501516",0.303643611266668,0.0788339493622613,FALSE
"JH-2-009","Pearson.est","progesterone receptor agonist",-0.33462,-0.883,0.557,1061,0.872,"norethindrone.acetate, norethindrone, danazol, dienogest, norgestrel",0.254144804826271,0.0594835150674328,FALSE
"JH-2-009","Pearson.est","proteasome inhibitor",-0.57184,-1.53,0.0665,1169,0.339,"ONX.0914, delanzomib, MG.132",1.1771783546969,0.469800301796918,FALSE
"JH-2-009","Pearson.est","protein synthesis inhibitor",0.27545,0.67,0.853,240,1,"brefeldin.a, cycloheximide, chloramphenicol.palmitate",0.069050968832477,0,FALSE
"JH-2-009","Pearson.est","protein tyrosine kinase inhibitor",0.51574,1.25,0.208,345,0.696,"AV.412, BMS.599626, tyrphostin.A9, NVP.TAE226, PP.121",0.681936665037238,0.157390760389438,FALSE
"JH-2-009","Pearson.est","RAF inhibitor",0.39999,0.966,0.477,201,0.817,"LGX818, CEP.32496, SB.590885, AZ.628",0.321481620959886,0.0877779434675845,FALSE
"JH-2-009","Pearson.est","RET tyrosine kinase inhibitor",0.66328,1.62,0.0403,9,0.459,"vandetanib",1.39469495385889,0.338187314462739,FALSE
"JH-2-009","Pearson.est","retinoid receptor agonist",0.42718,1.01,0.433,167,0.823,"CD.437, tamibarotene, AM.580",0.363512103646635,0.0846001647877302,FALSE
"JH-2-009","Pearson.est","ribonucleotide reductase inhibitor",-0.7162,-1.86,0.0231,1163,0.132,"fludarabine, hydroxyurea, gemcitabine, pentostatin, clofarabine, cladribine",1.63638802010786,0.87942606879415,TRUE
"JH-2-009","Pearson.est","serotonin receptor agonist",-0.51984,-1.35,0.139,1054,0.488,"pardoprunox, SR.57227A, zolmitriptan, aripiprazole",0.856985199745905,0.311580177997289,FALSE
"JH-2-009","Pearson.est","serotonin receptor antagonist",0.26623,0.661,0.867,462,0.994,"SB.228357, RS.16566, SB.216641, lurasidone, pirenperone, sertindole, tropisetron",0.0619809025237897,0.00261361560268669,FALSE
"JH-2-009","Pearson.est","sodium channel blocker",-0.28841,-0.753,0.758,1339,0.948,"cibenzoline, lappaconite, oxcarbazepine",0.120330794367946,0.0231916626619338,FALSE
"JH-2-009","Pearson.est","src inhibitor",0.66173,1.59,0.0424,42,0.434,"saracatinib, dasatinib, ZM.306416, bosutinib",1.37263414340727,0.362510270487489,FALSE
"JH-2-009","Pearson.est","sterol demethylase inhibitor",-0.37275,-0.953,0.477,1435,0.801,"chlormidazole",0.321481620959886,0.0963674839157623,FALSE
"JH-2-009","Pearson.est","TGF beta receptor inhibitor",0.49298,1.22,0.231,199,0.718,"repsox, D.4476",0.636388020107856,0.1438755557577,FALSE
"JH-2-009","Pearson.est","thymidylate synthase inhibitor",0.56716,1.37,0.136,551,0.783,"carmofur, ftorafur, raltitrexed, capecitabine",0.866461091629782,0.106238237942057,FALSE
"JH-2-009","Pearson.est","topoisomerase inhibitor",-0.7402,-1.96,0.0102,1262,0.122,"voreloxin, genz.644282, dexrazoxane, teniposide, rubitecan, mitoxantrone, valrubicin, amonafide, daunorubicin, doxorubicin, irinotecan, etoposide, topotecan, etoposide.phosphate, nemorubicin, epirubicin",1.99139982823808,0.913640169325252,TRUE
"JH-2-009","Pearson.est","tubulin polymerization inhibitor",-0.45931,-1.2,0.256,1017,0.628,"fenbendazole, dolastatin.10, paclitaxel, flubendazole, vindesine, verubulin, vincristine, epothilone.d, vinblastine, combretastatin.A.4, ABT.751, CYT.997, BNC105, taltobulin, KX2.391",0.59176003468815,0.202040356262804,FALSE
"JH-2-009","Pearson.est","tyrosine kinase inhibitor",0.4103,0.996,0.462,345,0.818,"vandetanib, dasatinib, AV.412, BMS.599626, tivantinib, aminopurvalanol.a, tyrphostin.A9, NVP.TAE226, GTP.14564, PP.121",0.335358024443874,0.087246696328677,FALSE
"JH-2-009","Pearson.est","VEGFR inhibitor",-0.31181,-0.83,0.683,1283,0.876,"SAR131675, foretinib, dovitinib, motesanib, pazopanib, axitinib, nintedanib, tivozanib, lenvatinib, linifanib",0.165579296318467,0.0574958938319193,FALSE
"JH-2-009","Pearson.est","vitamin D receptor agonist",0.53121,1.26,0.211,494,0.727,"tacalcitol, ercalcitriol, alfacalcidol, calcitriol, paricalcitol",0.675717544702307,0.138465589140962,FALSE
"JH-2-079","Pearson.est","EGFR inhibitor",0.79018,1.83,0.0027,206,0.21,"poziotinib, gefitinib, AZD8931, XL.647, afatinib, dacomitinib, BIBU.1361, pelitinib, PD.153035, erlotinib, neratinib, AST.1306, osimertinib, CUDC.101, canertinib, WZ.4002, lapatinib, vandetanib, BMS.599626, BMS.690514, BIBX.1382, tucatinib, icotinib, GW.583340, PD.168393, AEE788, TAK.285, ARRY.334543, CNX.2006, tyrphostin.AG.1478",2.56863623584101,0.677780705266081,TRUE
"JH-2-079","Pearson.est","Abl kinase inhibitor",0.56055,1.31,0.167,114,0.63,"bosutinib, ZM.306416, dasatinib",0.777283528852417,0.200659450546418,FALSE
"JH-2-079","Pearson.est","acetylcholine receptor agonist",0.46497,1.09,0.365,225,0.754,"pilocarpine, nicotine",0.437707135543525,0.122628654130226,FALSE
"JH-2-079","Pearson.est","acetylcholine receptor antagonist",-0.37116,-1,0.394,1058,0.629,"iododexetimide, darifenacin, methscopolamine, diphemanil",0.404503778174426,0.201349354554731,FALSE
"JH-2-079","Pearson.est","adenosine receptor antagonist",0.64177,1.49,0.0527,395,0.688,"CGS.15943, PSB.1115, SCH.58261, MRS.1220",1.27818938478745,0.162411561764489,FALSE
"JH-2-079","Pearson.est","adrenergic receptor agonist",0.33162,0.787,0.727,199,1,"ritodrine, isoxsuprine, oxymetazoline",0.138465589140962,0,FALSE
"JH-2-079","Pearson.est","adrenergic receptor antagonist",0.37506,0.86,0.659,411,0.931,"dronedarone, imiloxan, vincamine, atipamezole, atenolol......, prazosin, naftidrofuryl, oxprenolol",0.18111458540599,0.0310503190186574,FALSE
"JH-2-079","Pearson.est","AKT inhibitor",0.49011,1.14,0.294,434,0.693,"triciribine, uprosertib, AT7867, palomid.529, AZD5363, GSK2110183",0.531652669587843,0.159266765388193,FALSE
"JH-2-079","Pearson.est","ALK tyrosine kinase receptor inhibitor",0.28133,0.66,0.874,310,1,"AZD3463, SB.505124",0.058488567365597,0,FALSE
"JH-2-079","Pearson.est","androgen receptor antagonist",0.36582,0.859,0.647,447,0.909,"RU.58841, nilutamide",0.1890957193313,0.0414361167780325,FALSE
"JH-2-079","Pearson.est","antioxidant",0.48681,1.14,0.287,452,0.693,"mesna, trolox, chlorogenic.acid",0.542118103266008,0.159266765388193,FALSE
"JH-2-079","Pearson.est","AP inhibitor",-0.39398,-1.08,0.346,1230,0.906,"LCL.161, GDC.0152, idronoxil",0.460923901207223,0.0428718023231869,FALSE
"JH-2-079","Pearson.est","ATPase inhibitor",-0.25696,-0.712,0.819,369,0.846,"k.strophanthidin, NMS.873, evodiamine, blebbistatin...., ouabain, digoxin, thonzonium, digitoxigenin, rabeprazole, omeprazole, digitoxin, oligomycin.a",0.0867160982395816,0.0726296369609765,FALSE
"JH-2-079","Pearson.est","Aurora kinase inhibitor",0.20314,0.473,0.979,338,1,"PHA.680632, CYC116, CCT129202, GSK1070916",0.00921730819686218,0,FALSE
"JH-2-079","Pearson.est","bacterial 50S ribosomal subunit inhibitor",0.57925,1.35,0.146,414,0.67,"tedizolid, tilmicosin, azithromycin, radezolid, valnemulin",0.835647144215563,0.173925197299174,FALSE
"JH-2-079","Pearson.est","bacterial DNA gyrase inhibitor",0.42526,1,0.446,45,0.876,"finafloxacin",0.350665141287858,0.0574958938319193,FALSE
"JH-2-079","Pearson.est","BCL inhibitor",-0.33339,-0.912,0.533,1246,0.756,"HA14.1, navitoclax, ABT.737, oridonin",0.273272790973428,0.121478204498793,FALSE
"JH-2-079","Pearson.est","Bcr.Abl kinase inhibitor",0.45387,1.06,0.361,114,0.794,"bosutinib, dasatinib",0.442492798094342,0.100179497572904,FALSE
"JH-2-079","Pearson.est","benzodiazepine receptor agonist",0.30243,0.707,0.842,442,1,"ivermectin, lorazepam, zaleplon, eprinomectin, ZK.93423, piperazine",0.0746879085003505,0,FALSE
"JH-2-079","Pearson.est","bromodomain inhibitor",0.62485,1.43,0.0891,376,0.691,"JQ1...., bromosporine, I.BET151, OTX015",1.05012229596313,0.160521952625802,FALSE
"JH-2-079","Pearson.est","calcium channel blocker",0.50372,1.16,0.308,352,0.734,"tetrandrine, cinnarazine, fendiline, SKF.96365, mibefradil",0.511449283499556,0.134303940083929,FALSE
"JH-2-079","Pearson.est","CC chemokine receptor antagonist",0.43513,1.02,0.451,174,0.858,"ZK811752, navarixin",0.345823458122039,0.0665127121512946,FALSE
"JH-2-079","Pearson.est","CDK inhibitor",0.48626,1.14,0.303,383,0.693,"AZD5438, aminopurvalanol.a, JNJ.7706621, alvocidib, AT.7519, TG.02, BMS.265246, BMS.387032, P276.00, kenpaullone",0.518557371497695,0.159266765388193,FALSE
"JH-2-079","Pearson.est","CHK inhibitor",-0.66797,-1.91,0.0118,1177,0.225,"SB.218078, CHIR.124, LY2606368, SCH.900776, PF.477736",1.92811799269387,0.647817481888638,TRUE
"JH-2-079","Pearson.est","cyclooxygenase inhibitor",0.23514,0.549,0.963,256,1,"tryptanthrin, aspirin, FR.122047, ramifenazone, ketoprofen",0.0163737128754655,0,FALSE
"JH-2-079","Pearson.est","cytochrome P450 inhibitor",0.41699,0.976,0.494,357,0.9,"itraconazole, morin",0.306273051076353,0.0457574905606751,FALSE
"JH-2-079","Pearson.est","DNA alkylating agent",-0.21083,-0.572,0.946,1235,0.951,"mitomycin.c, carboplatin, cisplatin, dianhydrogalactitol",0.0241088635982073,0.0218194830625861,FALSE
"JH-2-079","Pearson.est","DNA inhibitor",0.40352,0.923,0.578,350,0.935,"oxaliplatin, sangivamycin, carmustine, primaquine, metronidazole, teroxirone",0.238072161579471,0.0291883891274822,FALSE
"JH-2-079","Pearson.est","DNA methyltransferase inhibitor",0.54727,1.26,0.208,266,0.688,"decitabine, azacitidine",0.681936665037238,0.162411561764489,FALSE
"JH-2-079","Pearson.est","DNA polymerase inhibitor",0.38212,0.89,0.619,335,0.948,"idoxuridine, cidofovir, adefovir.dipivoxil",0.208309350979882,0.0231916626619338,FALSE
"JH-2-079","Pearson.est","DNA synthesis inhibitor",-0.28312,-0.777,0.661,1192,0.785,"azodicarbonamide, mitomycin.c, artemisinin, cisplatin, altretamine, estramustine.phosphate",0.17979854051436,0.105130343254747,FALSE
"JH-2-079","Pearson.est","dopamine receptor antagonist",0.51289,1.19,0.251,458,0.723,"mesoridazine, oxiperomide, clebopride, UH.232...., domperidone, sertindole, amisulpride, thioproperazine, acetophenazine",0.600326278518962,0.140861702705469,FALSE
"JH-2-079","Pearson.est","estrogen receptor agonist",0.32829,0.758,0.78,213,0.983,"erteberel, estrone",0.10790539730952,0.00744648216786438,FALSE
"JH-2-079","Pearson.est","estrogen receptor antagonist",0.56989,1.32,0.151,107,0.649,"clomifene, raloxifene",0.821023052706831,0.187755303199631,FALSE
"JH-2-079","Pearson.est","FGFR inhibitor",-0.68962,-1.88,0.0172,1264,0.172,"orantinib, dovitinib, nintedanib, lenvatinib, erdafitinib",1.76447155309245,0.764471553092451,TRUE
"JH-2-079","Pearson.est","FLT3 inhibitor",0.27395,0.638,0.906,286,1,"TG.02, gilteritinib, GTP.14564, pacritinib",0.0428718023231869,0,FALSE
"JH-2-079","Pearson.est","glucocorticoid receptor agonist",0.73051,1.69,0.0139,180,0.275,"ciclesonide, triamcinolone.acetonide, fluocinolone.acetonide, hydrocortisone, halcinonide, halobetasol.propionate, flumethasone.pivalate, desonide, rimexolone, flumethasone, difluprednate, methylprednisolone, dexamethasone.acetate, prednisolone, clobetasol.propionate",1.8569851997459,0.560667306169737,FALSE
"JH-2-079","Pearson.est","glutamate receptor antagonist",0.20817,0.487,0.986,620,1,"SIB.1757, diazooxonorleucine, IEM1754, CPP, CGP.37849, tiletamine, MTPG",0.0061230850587888,0,FALSE
"JH-2-079","Pearson.est","glycogen synthase kinase inhibitor",-0.37167,-1.06,0.352,1364,0.8,"CHIR.99021, CHIR.98014",0.453457336521869,0.0969100130080564,FALSE
"JH-2-079","Pearson.est","growth factor receptor inhibitor",0.46377,1.09,0.373,198,0.754,"GSK1904529A, AZD3463",0.428291168191312,0.122628654130226,FALSE
"JH-2-079","Pearson.est","HCV inhibitor",0.57867,1.34,0.137,165,0.644,"PSI.7976, embelin",0.863279432843593,0.191114132640188,FALSE
"JH-2-079","Pearson.est","HDAC inhibitor",0.16429,0.387,0.999,542,0.998,"PCI.24781, givinostat, romidepsin, AR.42, RGFP966, dacinostat, JNJ.26481585, SB.939",0.000434511774017692,0.000869458712628891,FALSE
"JH-2-079","Pearson.est","histamine receptor antagonist",0.37403,0.871,0.644,621,0.96,"terfenadine, ranitidine, levocetirizine, astemizole, ebastine, tecastemizole, pheniramine, BF2.649, ICI.162846, tiotidine",0.191114132640188,0.0177287669604316,FALSE
"JH-2-079","Pearson.est","HMGCR inhibitor",-0.77604,-2.2,0.00459,1397,0.069,"fluvastatin, atorvastatin, pitavastatin, mevastatin",2.33818731446274,1.16115090926274,TRUE
"JH-2-079","Pearson.est","HSP inhibitor",-0.29586,-0.789,0.7,669,0.798,"SNX.5422, PU.H71, VER.49009, BIIB021, SNX.2112, NVP.AUY922, KW.2478, XL888, alvespimycin, ganetespib, guanidine, NMS.E973",0.154901959985743,0.0979971086492706,FALSE
"JH-2-079","Pearson.est","JAK inhibitor",0.24273,0.562,0.945,533,1,"filgotinib, TG.02, pacritinib, WHI.P154, AZD1480, AZ960, TG.101209, CEP.33779",0.0245681914907371,0,FALSE
"JH-2-079","Pearson.est","KIT inhibitor",-0.47819,-1.25,0.243,1354,0.674,"midostaurin, motesanib, pazopanib, lenvatinib",0.614393726401688,0.17134010346468,FALSE
"JH-2-079","Pearson.est","MDM inhibitor",0.5247,1.21,0.234,461,0.744,"RITA, nutlin.3, CGM097",0.630784142589857,0.128427064454121,FALSE
"JH-2-079","Pearson.est","MEK inhibitor",0.75778,1.79,0.0141,171,0.158,"AZD8330, PD.0325901, Ro.4987655, TAK.733, trametinib, AS.703026, cobimetinib, MEK162, selumetinib, PD.198306, PD.318088, PD.184352, refametinib",1.85078088734462,0.801342913045577,TRUE
"JH-2-079","Pearson.est","MET inhibitor",-0.55062,-1.51,0.0886,1323,0.381,"LY2801653, AMG458",1.05256627811295,0.419075024324381,FALSE
